Código,Município,Código TI,Território de Identidade,QtMédicosSUS,QtMédicosNãoSUS,QtEnfermeirosSUS,QtEnfermeirosNãoSUS,QtProfissionais,QtMédicos,QtEnfermeiros,QtSUS,QtNãoSUS,LogQtMédicosSUS,LogQtMédicosNãoSUS,LogQtEnfermeirosSUS,LogQtEnfermeirosNãoSUS,LogQtProfissionais,LogQtMédicos,LogQtEnfermeiros,LogQtSUS,LogQtNãoSUS
2902609,Baixa Grande,15,Bacia do Jacuípe,9,0,11,0,20,9,11,20,0,"0,9542425094",-1,"1,0413926852",-1,"1,3010299957","0,9542425094","1,0413926852","1,3010299957",-1
2902658,Banzaê,17,Semiárido Nordeste II,5,0,13,0,18,5,13,18,0,"0,6989700043",-1,"1,1139433523",-1,"1,2552725051","0,6989700043","1,1139433523","1,2552725051",-1
2902708,Barra,2,Velho Chico,28,0,40,0,68,28,40,68,0,"1,4471580313",-1,"1,6020599913",-1,"1,8325089127","1,4471580313","1,6020599913","1,8325089127",-1
2902807,Barra da Estiva,3,Chapada Diamantina,14,2,22,0,38,16,22,36,2,"1,1461280357","0,3010299957","1,3424226808",-1,"1,5797835966","1,2041199827","1,3424226808","1,5563025008","0,3010299957"
2902906,Barra do Choça,20,Sudoeste Baiano,24,1,21,0,46,25,21,45,1,"1,3802112417",0,"1,3222192947",-1,"1,6627578317","1,3979400087","1,3222192947","1,6532125138",0
2903003,Barra do Mendes,1,Irecê,4,0,17,0,21,4,17,21,0,"0,6020599913",-1,"1,2304489214",-1,"1,3222192947","0,6020599913","1,2304489214","1,3222192947",-1
2903102,Barra do Rocha,22,Médio Rio de Contas,1,0,4,0,5,1,4,5,0,0,-1,"0,6020599913",-1,"0,6989700043",0,"0,6020599913","0,6989700043",-1
2903201,Barreiras,11,Bacia do Rio Grande,201,84,266,5,556,285,271,467,89,"2,3031960574","1,9242792861","2,4248816366","0,6989700043","2,7450747916","2,45484486","2,4329692909","2,6693168806","1,9493900066"
2903235,Barro Alto,1,Irecê,6,0,7,0,13,6,7,13,0,"0,7781512504",-1,"0,84509804",-1,"1,1139433523","0,7781512504","0,84509804","1,1139433523",-1
2903276,Barrocas,4,Sisal,7,0,13,1,21,7,14,20,1,"0,84509804",-1,"1,1139433523",0,"1,3222192947","0,84509804","1,1461280357","1,3010299957",0
2903300,Barro Preto,5,Litoral Sul,5,0,7,0,12,5,7,12,0,"0,6989700043",-1,"0,84509804",-1,"1,079181246","0,6989700043","0,84509804","1,079181246",-1
2903409,Belmonte,27,Costa do Descobrimento,16,0,22,0,38,16,22,38,0,"1,2041199827",-1,"1,3424226808",-1,"1,5797835966","1,2041199827","1,3424226808","1,5797835966",-1
2903508,Belo Campo,20,Sudoeste Baiano,12,0,20,0,32,12,20,32,0,"1,079181246",-1,"1,3010299957",-1,"1,5051499783","1,079181246","1,3010299957","1,5051499783",-1
2903607,Biritinga,4,Sisal,9,0,16,0,25,9,16,25,0,"0,9542425094",-1,"1,2041199827",-1,"1,3979400087","0,9542425094","1,2041199827","1,3979400087",-1
2903706,Boa Nova,22,Médio Rio de Contas,4,0,10,0,14,4,10,14,0,"0,6020599913",-1,1,-1,"1,1461280357","0,6020599913",1,"1,1461280357",-1
2903805,Boa Vista do Tupim,14,Piemonte do Paraguaçu,11,0,11,0,22,11,11,22,0,"1,0413926852",-1,"1,0413926852",-1,"1,3424226808","1,0413926852","1,0413926852","1,3424226808",-1
2903904,Bom Jesus da Lapa,2,Velho Chico,63,8,80,0,151,71,80,143,8,"1,7993405495","0,903089987","1,903089987",-1,"2,1789769473","1,8512583487","1,903089987","2,1553360375","0,903089987"
2903953,Bom Jesus da Serra,20,Sudoeste Baiano,9,0,11,0,20,9,11,20,0,"0,9542425094",-1,"1,0413926852",-1,"1,3010299957","0,9542425094","1,0413926852","1,3010299957",-1
2904001,Boninal,3,Chapada Diamantina,3,0,7,0,10,3,7,10,0,"0,4771212547",-1,"0,84509804",-1,1,"0,4771212547","0,84509804",1,-1
2904050,Bonito,3,Chapada Diamantina,8,0,10,0,18,8,10,18,0,"0,903089987",-1,1,-1,"1,2552725051","0,903089987",1,"1,2552725051",-1
2904100,Boquira,12,Bacia do Paramirim,7,0,20,0,27,7,20,27,0,"0,84509804",-1,"1,3010299957",-1,"1,4313637642","0,84509804","1,3010299957","1,4313637642",-1
2904209,Botuporã,12,Bacia do Paramirim,7,0,11,0,18,7,11,18,0,"0,84509804",-1,"1,0413926852",-1,"1,2552725051","0,84509804","1,0413926852","1,2552725051",-1
2904308,Brejões,9,Vale do Jiquiriçá,5,0,7,0,12,5,7,12,0,"0,6989700043",-1,"0,84509804",-1,"1,079181246","0,6989700043","0,84509804","1,079181246",-1
2904407,Brejolândia,23,Bacia do Rio Corrente,2,0,7,0,9,2,7,9,0,"0,3010299957",-1,"0,84509804",-1,"0,9542425094","0,3010299957","0,84509804","0,9542425094",-1
2904506,Brotas de Macaúbas,2,Velho Chico,6,0,8,0,14,6,8,14,0,"0,7781512504",-1,"0,903089987",-1,"1,1461280357","0,7781512504","0,903089987","1,1461280357",-1
2904605,Brumado,13,Sertão Produtivo,76,28,75,4,183,104,79,151,32,"1,8808135923","1,4471580313","1,8750612634","0,6020599913","2,2624510897","2,0170333393","1,8976270913","2,1789769473","1,5051499783"
2904704,Buerarema,5,Litoral Sul,7,0,16,0,23,7,16,23,0,"0,84509804",-1,"1,2041199827",-1,"1,361727836","0,84509804","1,2041199827","1,361727836",-1
2904753,Buritirama,11,Bacia do Rio Grande,4,0,16,0,20,4,16,20,0,"0,6020599913",-1,"1,2041199827",-1,"1,3010299957","0,6020599913","1,2041199827","1,3010299957",-1
2904803,Caatiba,8,Médio Sudoeste da Bahia,3,0,6,0,9,3,6,9,0,"0,4771212547",-1,"0,7781512504",-1,"0,9542425094","0,4771212547","0,7781512504","0,9542425094",-1
2904852,Cabaceiras do Paraguaçu,21,Recôncavo,5,0,18,0,23,5,18,23,0,"0,6989700043",-1,"1,2552725051",-1,"1,361727836","0,6989700043","1,2552725051","1,361727836",-1
2904902,Cachoeira,21,Recôncavo,27,8,30,0,65,35,30,57,8,"1,4313637642","0,903089987","1,4771212547",-1,"1,8129133566","1,5440680444","1,4771212547","1,7558748557","0,903089987"
2905008,Caculé,13,Sertão Produtivo,11,19,22,1,53,30,23,33,20,"1,0413926852","1,278753601","1,3424226808",0,"1,7242758696","1,4771212547","1,361727836","1,5185139399","1,3010299957"
2905107,Caém,16,Piemonte da Diamantina,9,0,7,0,16,9,7,16,0,"0,9542425094",-1,"0,84509804",-1,"1,2041199827","0,9542425094","0,84509804","1,2041199827",-1
2905156,Caetanos,20,Sudoeste Baiano,6,0,11,0,17,6,11,17,0,"0,7781512504",-1,"1,0413926852",-1,"1,2304489214","0,7781512504","1,0413926852","1,2304489214",-1
2905206,Caetité,13,Sertão Produtivo,54,11,41,2,108,65,43,95,13,"1,7323937598","1,0413926852","1,6127838567","0,3010299957","2,0334237555","1,8129133566","1,6334684556","1,9777236053","1,1139433523"
2905305,Cafarnaum,1,Irecê,12,0,12,0,24,12,12,24,0,"1,079181246",-1,"1,079181246",-1,"1,3802112417","1,079181246","1,079181246","1,3802112417",-1
2905404,Cairu,6,Baixo Sul,11,0,11,0,22,11,11,22,0,"1,0413926852",-1,"1,0413926852",-1,"1,3424226808","1,0413926852","1,0413926852","1,3424226808",-1
2905503,Caldeirão Grande,25,Piemonte Norte do Itapicuru,6,0,8,0,14,6,8,14,0,"0,7781512504",-1,"0,903089987",-1,"1,1461280357","0,7781512504","0,903089987","1,1461280357",-1
2905602,Camacan,5,Litoral Sul,21,1,27,0,49,22,27,48,1,"1,3222192947",0,"1,4313637642",-1,"1,69019608","1,3424226808","1,4313637642","1,6812412374",0
2905701,Camaçari,26,Metropolitano de Salvador,431,145,279,29,884,576,308,710,174,"2,6344772702","2,1613680022","2,4456042033","1,4623979979","2,946452265","2,7604224834","2,4885507165","2,8512583487","2,2405492483"
2905800,Camamu,6,Baixo Sul,15,6,26,0,47,21,26,41,6,"1,1760912591","0,7781512504","1,414973348",-1,"1,6720978579","1,3222192947","1,414973348","1,6127838567","0,7781512504"
2905909,Campo Alegre de Lourdes,10,Sertão do São Francisco,8,0,17,1,26,8,18,25,1,"0,903089987",-1,"1,2304489214",0,"1,414973348","0,903089987","1,2552725051","1,3979400087",0
2906006,Campo Formoso,25,Piemonte Norte do Itapicuru,43,9,36,0,88,52,36,79,9,"1,6334684556","0,9542425094","1,5563025008",-1,"1,9444826722","1,7160033436","1,5563025008","1,8976270913","0,9542425094"
2906105,Canápolis,23,Bacia do Rio Corrente,5,0,8,0,13,5,8,13,0,"0,6989700043",-1,"0,903089987",-1,"1,1139433523","0,6989700043","0,903089987","1,1139433523",-1
2906204,Canarana,1,Irecê,12,0,16,0,28,12,16,28,0,"1,079181246",-1,"1,2041199827",-1,"1,4471580313","1,079181246","1,2041199827","1,4471580313",-1
2906303,Canavieiras,5,Litoral Sul,17,3,20,1,41,20,21,37,4,"1,2304489214","0,4771212547","1,3010299957",0,"1,6127838567","1,3010299957","1,3222192947","1,5682017241","0,6020599913"
2906402,Candeal,4,Sisal,7,0,8,0,15,7,8,15,0,"0,84509804",-1,"0,903089987",-1,"1,1760912591","0,84509804","0,903089987","1,1760912591",-1
2906501,Candeias,26,Metropolitano de Salvador,88,35,76,19,218,123,95,164,54,"1,9444826722","1,5440680444","1,8808135923","1,278753601","2,3384564936","2,0899051114","1,9777236053","2,214843848","1,7323937598"
2906600,Candiba,13,Sertão Produtivo,3,0,5,0,8,3,5,8,0,"0,4771212547",-1,"0,6989700043",-1,"0,903089987","0,4771212547","0,6989700043","0,903089987",-1
2906709,Cândido Sales,20,Sudoeste Baiano,8,0,21,0,29,8,21,29,0,"0,903089987",-1,"1,3222192947",-1,"1,4623979979","0,903089987","1,3222192947","1,4623979979",-1
2906808,Cansanção,4,Sisal,17,1,21,0,39,18,21,38,1,"1,2304489214",0,"1,3222192947",-1,"1,591064607","1,2552725051","1,3222192947","1,5797835966",0
2906824,Canudos,10,Sertão do São Francisco,8,0,12,0,20,8,12,20,0,"0,903089987",-1,"1,079181246",-1,"1,3010299957","0,903089987","1,079181246","1,3010299957",-1
2906857,Capela do Alto Alegre,15,Bacia do Jacuípe,10,0,12,0,22,10,12,22,0,1,-1,"1,079181246",-1,"1,3424226808",1,"1,079181246","1,3424226808",-1
2906873,Capim Grosso,15,Bacia do Jacuípe,18,3,30,0,51,21,30,48,3,"1,2552725051","0,4771212547","1,4771212547",-1,"1,7075701761","1,3222192947","1,4771212547","1,6812412374","0,4771212547"
2906899,Caraíbas,20,Sudoeste Baiano,3,0,12,0,15,3,12,15,0,"0,4771212547",-1,"1,079181246",-1,"1,1760912591","0,4771212547","1,079181246","1,1760912591",-1
2906907,Caravelas,7,Extremo Sul,11,0,20,0,31,11,20,31,0,"1,0413926852",-1,"1,3010299957",-1,"1,4913616938","1,0413926852","1,3010299957","1,4913616938",-1
