Código,Município,Código TI,Território de Identidade,População,QtMédicosSUS,QtMédicosNãoSUS,QtEnfermeirosSUS,QtEnfermeirosNãoSUS,QtProfissionais,Médicos,Enfermeiros,SUS,Não SUS,QtProfissionais/100000Hab,QtMédicos/100000Hab,QtEnfermeiros/100000Hab,QtSUS/100000Hab,QtNãoSUS/100000Hab
2900108,Abaíra,3,Chapada Diamantina,9199,8,0,6,0,14,8,6,14,0,152.1904554843,86.9659745625,65.2244809218,152.1904554843,0
2900207,Abaré,24,Itaparica,20189,7,0,16,0,23,7,16,23,0,113.9234236465,34.6723463272,79.2510773193,113.9234236465,0
2900306,Acajutiba,18,Litoral Norte e Agreste Baiano,15727,6,1,9,0,16,7,9,15,1,101.7358682521,44.5094423603,57.2264258918,95.3773764863,6.3584917658
2900355,Adustina,17,Semiárido Nordeste II,17349,8,0,7,0,15,8,7,15,0,86.4603147155,46.1121678483,40.3481468673,86.4603147155,0
2900405,Água Fria,19,Portal do Sertão,17508,10,0,13,0,23,10,13,23,0,131.3685172493,57.1167466301,74.2517706191,131.3685172493,0
2900504,Érico Cardoso,12,Bacia do Paramirim,11212,4,1,9,0,14,5,9,13,1,124.8662147699,44.5950767035,80.2711380664,115.9471994292,8.9190153407
2900603,Aiquara,22,Médio Rio de Contas,4725,4,0,5,0,9,4,5,9,0,190.4761904762,84.6560846561,105.8201058201,190.4761904762,0
2900702,Alagoinhas,18,Litoral Norte e Agreste Baiano,155979,129,90,112,8,339,219,120,241,98,217.3369492047,140.4035158579,76.9334333468,154.5079786382,62.8289705666
2900801,Alcobaça,7,Extremo Sul,23376,25,0,16,0,41,25,16,41,0,175.3935660507,106.9472963723,68.4462696783,175.3935660507,0
2900900,Almadina,5,Litoral Sul,5985,3,0,4,0,7,3,4,7,0,116.9590643275,50.1253132832,66.8337510443,116.9590643275,0
2901007,Amargosa,9,Vale do Jiquiriçá,38259,30,10,32,0,72,40,32,62,10,188.1910138791,104.5505632662,83.6404506129,162.0533730625,26.1376408165
2901106,Amélia Rodrigues,19,Portal do Sertão,26409,15,1,13,0,29,16,13,28,1,109.8110492635,60.5854064902,49.2256427733,106.0244613579,3.7865879056
2901155,América Dourada,1,Irecê,16798,10,0,11,0,21,10,11,21,0,125.0148827241,59.5308965353,65.4839861888,125.0148827241,0
2901205,Anagé,20,Sudoeste Baiano,19568,24,0,18,0,42,24,18,42,0,214.6361406378,122.6492232216,91.9869174162,214.6361406378,0
2901304,Andaraí,3,Chapada Diamantina,13737,8,0,8,0,16,8,8,16,0,116.4737570066,58.2368785033,58.2368785033,116.4737570066,0
2901353,Andorinha,25,Piemonte Norte do Itapicuru,15490,5,1,8,0,14,6,8,13,1,90.3808908974,38.7346675274,51.6462233699,83.9251129761,6.4557779212
2901403,Angical,11,Bacia do Rio Grande,14690,3,0,4,0,7,3,4,7,0,47.6514635807,20.4220558203,27.2294077604,47.6514635807,0
2901502,Anguera,19,Portal do Sertão,11481,8,0,13,0,21,8,13,21,0,182.9108962634,69.6803414337,113.2305548297,182.9108962634,0
2901601,Antas,17,Semiárido Nordeste II,19569,13,0,17,0,30,13,17,30,0,153.303694619,66.4316010016,86.8720936175,153.303694619,0
2901700,Antônio Cardoso,19,Portal do Sertão,12208,5,0,9,0,14,5,9,14,0,114.6788990826,40.9567496723,73.7221494102,114.6788990826,0
2901809,Antônio Gonçalves,25,Piemonte Norte do Itapicuru,12072,7,1,9,0,17,8,9,16,1,140.8217362492,66.2690523526,74.5526838966,132.5381047051,8.2836315441
2901908,Aporá,18,Litoral Norte e Agreste Baiano,18334,8,1,10,0,19,9,10,18,1,103.6325951784,49.0891240319,54.5434711465,98.1782480637,5.4543471147
