country,year,pop,continent,lifeExp,gdpPercap
Cravolândia,2007,2,Vale do Jiquiriçá,9,2909505
Crisópolis,2007,5,Litoral Norte e Agreste Baiano,18,2909604
Cristópolis,2007,4,Bacia do Rio Grande,11,2909703
Cruz das Almas,2007,7,Recôncavo,21,2909802
Curaçá,2007,5,Sertão do São Francisco,10,2909901
Dário Meira,2007,3,Médio Rio de Contas,22,2910008
Dias d'Ávila,2007,8,Metropolitano de Salvador,26,2910057
Dom Basílio,2007,4,Sertão Produtivo,13,2910107
Dom Macedo Costa,2007,2,Recôncavo,21,2910206
Elísio Medrado,2007,3,Vale do Jiquiriçá,9,2910305
Encruzilhada,2007,2,Sudoeste Baiano,20,2910404
Entre Rios,2007,8,Litoral Norte e Agreste Baiano,18,2910503
Érico Cardoso,2007,3,Bacia do Paramirim,12,2900504
Esplanada,2007,7,Litoral Norte e Agreste Baiano,18,2910602
Euclides da Cunha,2007,3,Semiárido Nordeste II,17,2910701
Eunápolis,2007,19,Costa do Descobrimento,27,2910727
Fátima,2007,4,Semiárido Nordeste II,17,2910750
Feira da Mata,2007,2,Velho Chico,2,2910776
Feira de Santana,2007,72,Portal do Sertão,19,2910800
Filadélfia,2007,4,Piemonte Norte do Itapicuru,25,2910859
Firmino Alves,2007,2,Médio Sudoeste da Bahia,8,2910909
Floresta Azul,2007,3,Litoral Sul,5,2911006
Formosa do Rio Preto,2007,3,Bacia do Rio Grande,11,2911105
Gandu,2007,4,Baixo Sul,6,2911204
Gavião,2007,2,Bacia do Jacuípe,15,2911253
Gentio do Ouro,2007,0,Irecê,1,2911303
Glória,2007,5,Itaparica,24,2911402
Gongogi,2007,4,Médio Rio de Contas,22,2911501
Governador Mangabeira,2007,3,Recôncavo,21,2911600
Guajeru,2007,4,Sudoeste Baiano,20,2911659
Guanambi,2007,12,Sertão Produtivo,13,2911709
Guaratinga,2007,6,Costa do Descobrimento,27,2911808
Heliópolis,2007,3,Semiárido Nordeste II,17,2911857
Iaçu,2007,9,Piemonte do Paraguaçu,14,2911907
Ibiassucê,2007,3,Sertão Produtivo,13,2912004
Ibicaraí,2007,10,Litoral Sul,5,2912103
Ibicoara,2007,6,Chapada Diamantina,3,2912202
Ibicuí,2007,4,Médio Sudoeste da Bahia,8,2912301
Ibipeba,2007,4,Irecê,1,2912400
Ibipitanga,2007,6,Bacia do Paramirim,12,2912509
Ibiquera,2007,1,Piemonte do Paraguaçu,14,2912608
Ibirapitanga,2007,4,Baixo Sul,6,2912707
Ibirapoã,2007,3,Extremo Sul,7,2912806
Ibirataia,2007,4,Médio Rio de Contas,22,2912905
Ibitiara,2007,4,Chapada Diamantina,3,2913002
