Código,Município,Código TI,Território de Identidade,População,QtMédicosSUS,QtMédicosNãoSUS,QtEnfermeirosSUS,QtEnfermeirosNãoSUS,QtProfissionais,Médicos,Enfermeiros,SUS,Não SUS,QtProfissionais/100000Hab,QtMédicos/100000Hab,QtEnfermeiros/100000Hab,QtSUS/100000Hab,QtNãoSUS/100000Hab
2900108,Abaíra,3,Chapada Diamantina,9199,11,0,5,0,16,11,5,16,0,173.9319491249,119.5782150234,54.3537341015,173.9319491249,0
2900207,Abaré,24,Itaparica,20189,2,0,14,0,16,2,14,16,0,79.2510773193,9.9063846649,69.3446926544,79.2510773193,0
2900306,Acajutiba,18,Litoral Norte e Agreste Baiano,15727,4,1,10,0,15,5,10,14,1,95.3773764863,31.7924588288,63.5849176575,89.0188847205,6.3584917658
2900355,Adustina,17,Semiárido Nordeste II,17349,140,0,8,0,148,140,8,148,0,853.0751051934,806.9629373451,46.1121678483,853.0751051934,0
2900405,Água Fria,19,Portal do Sertão,17508,26,0,12,0,38,26,12,38,0,217.0436371944,148.5035412383,68.5400959561,217.0436371944,0
2900504,Érico Cardoso,12,Bacia do Paramirim,11212,2,0,7,0,9,2,7,9,0,80.2711380664,17.8380306814,62.4331073849,80.2711380664,0
2900603,Aiquara,22,Médio Rio de Contas,4725,24,0,5,0,29,24,5,29,0,613.7566137566,507.9365079365,105.8201058201,613.7566137566,0
2900702,Alagoinhas,18,Litoral Norte e Agreste Baiano,155979,12,97,128,9,246,109,137,140,106,157.7135383609,69.8812019567,87.8323364043,89.7556722379,67.957866123
2900801,Alcobaça,7,Extremo Sul,23376,6,0,18,0,24,6,18,24,0,102.6694045175,25.6673511294,77.0020533881,102.6694045175,0
2900900,Almadina,5,Litoral Sul,5985,22,0,5,0,27,22,5,27,0,451.1278195489,367.5856307435,83.5421888053,451.1278195489,0
2901007,Amargosa,9,Vale do Jiquiriçá,38259,9,11,30,0,50,20,30,39,11,130.6882040827,52.2752816331,78.4129224496,101.9367991845,28.7514048982
2901106,Amélia Rodrigues,19,Portal do Sertão,26409,5,1,10,0,16,6,10,15,1,60.5854064902,22.7195274338,37.8658790564,56.7988185846,3.7865879056
2901155,América Dourada,1,Irecê,16798,6,0,11,0,17,6,11,17,0,101.20252411,35.7185379212,65.4839861888,101.20252411,0
2901205,Anagé,20,Sudoeste Baiano,19568,10,0,19,0,29,10,19,29,0,148.2011447261,51.103843009,97.0973017171,148.2011447261,0
2901304,Andaraí,3,Chapada Diamantina,13737,14,0,9,0,23,14,9,23,0,167.431025697,101.9145373808,65.5164883162,167.431025697,0
2901353,Andorinha,25,Piemonte Norte do Itapicuru,15490,3,1,8,0,12,4,8,11,1,77.4693350549,25.823111685,51.6462233699,71.0135571336,6.4557779212
2901403,Angical,11,Bacia do Rio Grande,14690,5,0,4,0,9,5,4,9,0,61.2661674609,34.0367597005,27.2294077604,61.2661674609,0
2901502,Anguera,19,Portal do Sertão,11481,9,0,10,0,19,9,10,19,0,165.490810905,78.3903841129,87.1004267921,165.490810905,0
2901601,Antas,17,Semiárido Nordeste II,19569,5,0,17,0,22,5,17,22,0,112.4227093873,25.5506157698,86.8720936175,112.4227093873,0
2901700,Antônio Cardoso,19,Portal do Sertão,12208,9,0,7,0,16,9,7,16,0,131.0615989515,73.7221494102,57.3394495413,131.0615989515,0
2901809,Antônio Gonçalves,25,Piemonte Norte do Itapicuru,12072,11,1,8,0,20,12,8,19,1,165.6726308814,99.4035785288,66.2690523526,157.3889993373,8.2836315441
2901908,Aporá,18,Litoral Norte e Agreste Baiano,18334,19,0,6,0,25,19,6,25,0,136.3586778663,103.6325951784,32.7260826879,136.3586778663,0
2901957,Apuarema,22,Médio Rio de Contas,7730,2,0,6,0,8,2,6,8,0,103.4928848642,25.873221216,77.6196636481,103.4928848642,0
2902005,Aracatu,20,Sudoeste Baiano,13962,2,0,11,0,13,2,11,13,0,93.1098696462,14.3245953302,78.785274316,93.1098696462,0
2902054,Araçás,18,Litoral Norte e Agreste Baiano,12608,3,0,10,0,13,3,10,13,0,103.1091370558,23.7944162437,79.3147208122,103.1091370558,0
2902104,Araci,4,Sisal,55935,7,3,36,0,46,10,36,43,3,82.2383123268,17.8778939841,64.3604183427,76.8749441316,5.3633681952
2902203,Aramari,18,Litoral Norte e Agreste Baiano,11703,7,0,7,0,14,7,7,14,0,119.627445954,59.813722977,59.813722977,119.627445954,0
2902252,Arataca,5,Litoral Sul,11661,7,0,6,0,13,7,6,13,0,111.4827201784,60.0291570191,51.4535631592,111.4827201784,0
2902302,Aratuípe,6,Baixo Sul,9171,7,0,4,0,11,7,4,11,0,119.9432995311,76.3275542471,43.615745284,119.9432995311,0
2902401,Aurelino Leal,5,Litoral Sul,12706,31,0,11,0,42,31,11,42,0,330.5524948843,243.9792224146,86.5732724697,330.5524948843,0
2902500,Baianópolis,11,Bacia do Rio Grande,14323,15,0,14,0,29,15,14,29,0,202.4715492564,104.7266634085,97.7448858479,202.4715492564,0
2902609,Baixa Grande,15,Bacia do Jacuípe,21403,25,0,2,0,27,25,2,27,0,126.150539644,116.8060552259,9.3444844181,126.150539644,0
2902658,Banzaê,17,Semiárido Nordeste II,13765,5,0,18,0,23,5,18,23,0,167.0904467853,36.3240101707,130.7664366146,167.0904467853,0
2902708,Barra,2,Velho Chico,54915,4,0,36,0,40,4,36,40,0,72.8398433943,7.2839843394,65.5558590549,72.8398433943,0
2902807,Barra da Estiva,3,Chapada Diamantina,22082,219,1,23,0,243,220,23,242,1,1100.4438003804,996.2865682456,104.1572321348,1095.9152250702,4.5285753102
2902906,Barra do Choça,20,Sudoeste Baiano,34121,8,1,21,0,30,9,21,29,1,87.9223938337,26.3767181501,61.5456756836,84.9916473726,2.9307464611
2903003,Barra do Mendes,1,Irecê,14560,8,0,19,0,27,8,19,27,0,185.4395604396,54.9450549451,130.4945054945,185.4395604396,0
2903102,Barra do Rocha,22,Médio Rio de Contas,6258,6,0,3,0,9,6,3,9,0,143.815915628,95.8772770853,47.9386385427,143.815915628,0
2903201,Barreiras,11,Bacia do Rio Grande,157638,17,41,237,3,298,58,240,254,44,189.0407135335,36.7931590099,152.2475545237,161.1286618709,27.9120516627
